"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Medicare BD","0","Admin (auth-gated)","1","0","Admin panel is gated behind authentication","0"
"0","Medicare BD","0","SEO & Performance","1","0","Sitemap is served","0"
"0","Medicare BD","0","Auth","1","0","Login page renders","0"
"0","Medicare BD","0","Cart & Checkout","1","0","Checkout page loads","0"
"0","Medicare BD","0","Cart & Checkout","1","0","Empty cart page loads","0"
"0","Medicare BD","0","SEO & Performance","1","0","Homepage has proper meta tags","0"
"0","Medicare BD","0","Informational Pages","1","0","About page","0"
"0","Medicare BD","0","Responsive Design","1","0","Tablet viewport renders products","0"
"0","Medicare BD","0","Home Page","1","0","Home page loads with hero and header","0"
"0","Medicare BD","0","Product Catalog","1","0","Product search functionality","0"
"0","Medicare BD","0","SEO & Performance","1","0","robots.txt is served","0"
"0","Medicare BD","0","Informational Pages","1","0","Privacy policy page","0"
"0","Medicare BD","0","Informational Pages","1","0","Contact page","0"
"0","Medicare BD","0","Responsive Design","1","0","Mobile viewport renders home","0"
"0","Medicare BD","0","Informational Pages","1","0","Order tracking page","0"
"0","Medicare BD","0","Product Catalog","1","0","Products listing page renders grid","0"
"0","Medicare BD","0","Auth","1","0","Account page redirects unauthenticated users","0"
"0","Medicare BD","0","Home Page","1","0","Announcement bar and navigation links","0"
"0","Medicare BD","0","Product Catalog","1","0","Product detail page opens","0"
"0","Medicare BD","0","Informational Pages","1","0","Refund policy page","0"
